Party,PersonalPageRankEast,PersonalPageRankWest,Amount of Nodes,PersonalPageRankEast/Amount of Nodes,PersonalPageRankWest/Amount of Nodes,PersonalPageRankEast/PersonalPageRankWest,PersonalPageRankEast/PersonalPageRankWest/Amount of Nodes,Year
CSU,0.028308768552763916,0.07148485449508427,5,0.0056617537105527836,0.014296970899016853,0.3960107179725826,0.07920214359451652,2000
CDU,0.8438336332859218,0.7016653346169,30,0.028127787776197392,0.02338884448723,1.2026155371444192,0.04008718457148064,2000
FDP,0.04977840742519989,0.06443615605024398,4,0.012444601856299973,0.016109039012560996,0.7725229199951851,0.19313072999879627,2000
SPD,0.04807876493553477,0.05526307952041189,3,0.01602625497851159,0.018421026506803963,0.8699979326663558,0.2899993108887853,2000
CSU,0.04233135741762561,0.1418466766067527,7,0.006047336773946516,0.020263810943821816,0.2984303787037785,0.04263291124339692,2001
CDU,0.12806759869582723,0.26594453899848153,12,0.010672299891318937,0.022162044916540127,0.48155754270464063,0.04012979522538672,2001
SPD,0.1833922251770437,0.1091383479156719,6,0.030565370862840616,0.018189724652611983,1.6803646809712172,0.2800607801618695,2001
FDP,0.19480137250139606,0.13936498846132983,7,0.027828767500199438,0.01990928406590426,1.3977784137330043,0.19968263053328633,2001
GRÜNE,0.01593515819880797,0.037877194150300136,3,0.005311719399602657,0.012625731383433378,0.42070587740939364,0.14023529246979788,2001
CSU,0.11900131464906097,0.16614858583396594,14,0.008500093903504355,0.011867756130997567,0.7162342914430837,0.05115959224593455,2002
SPD,0.06732262615481235,0.08678831115538212,7,0.00961751802211605,0.012398330165054589,0.7757107525030735,0.11081582178615336,2002
CDU,0.39068643047993357,0.23833028002565193,20,0.01953432152399668,0.011916514001282597,1.6392647650054506,0.08196323825027253,2002
FDP,0.16438464844380407,0.2108565536557334,18,0.009132480469100226,0.011714252980874078,0.7796041697247682,0.043311342762487125,2002
GRÜNE,0.016060347061725495,0.0451735828122531,5,0.003212069412345099,0.00903471656245062,0.3555251999487012,0.07110503998974024,2002
CSU,0.12258354839092875,0.1694726211802047,7,0.017511935484418394,0.024210374454314957,0.7233236114320934,0.10333194449029906,2003
CDU,0.5813356651695577,0.38229274591746276,14,0.04152397608353984,0.0273066247083902,1.5206557576038036,0.10861826840027168,2003
SPD,0.10760551574440975,0.1193121234957106,5,0.02152110314888195,0.02386242469914212,0.9018824960254629,0.18037649920509258,2003
FDP,0.07466028585883193,0.09786323174968325,4,0.018665071464707982,0.024465807937420814,0.7629043566617508,0.1907260891654377,2003
CSU,0.05003737041961647,0.08629818722270606,9,0.00555970782440183,0.009588687469189562,0.5798194843941178,0.06442438715490198,2005
FDP,0.17101621585833635,0.22511875546824567,21,0.008143629326587446,0.010719940736583127,0.7596711144863236,0.03617481497553922,2005
SPD,0.08589971828724509,0.11132201363531091,10,0.00858997182872451,0.011132201363531092,0.7716328108171951,0.07716328108171952,2005
CDU,0.654934246311799,0.48308145209120107,41,0.015974006007604853,0.011782474441248806,1.3557428948610384,0.033066899874659474,2005
GRÜNE,0.013775794498661956,0.02027756384272473,2,0.006887897249330978,0.010138781921362364,0.679361416662707,0.3396807083313535,2005
CSU,0.06971111201155085,0.11029705916478856,5,0.01394222240231017,0.02205941183295771,0.6320305594675869,0.1264061118935174,2006
CDU,0.3296618826497498,0.30591652517361445,14,0.02354727733212499,0.02185118036954389,1.0776203817778702,0.07697288441270501,2006
SPD,0.17978168739555198,0.1740568032178683,8,0.022472710924443997,0.021757100402233536,1.0328908957986422,0.12911136197483028,2006
FDP,0.1254629271746499,0.18185148439543958,8,0.01568286589683124,0.022731435549429947,0.689919730882308,0.0862399663602885,2006
CSU,0.05269157413688121,0.10258896569188046,7,0.007527367733840174,0.014655566527411495,0.5136183387903243,0.07337404839861775,2007
CDU,0.653339731039827,0.5049088139691021,25,0.02613358924159308,0.020196352558764084,1.2939756901922652,0.051759027607690605,2007
SPD,0.08700622528797737,0.10268532117425537,5,0.017401245057595473,0.020537064234851073,0.8473092774412145,0.1694618554882429,2007
FDP,0.07940175435627639,0.13604003899158237,10,0.007940175435627639,0.013604003899158237,0.5836645956944297,0.058366459569442974,2007
CSU,0.09120958222755984,0.14433684692040424,10,0.009120958222755984,0.014433684692040424,0.6319216760905005,0.06319216760905005,2008
CDU,0.5621803263938816,0.3825100819614736,24,0.023424180266411732,0.015937920081728067,1.469713748487561,0.06123807285364838,2008
FDP,0.1797165054579162,0.23731524101118476,16,0.011232281591119763,0.014832202563199047,0.7572901963319165,0.04733063727074478,2008
SPD,0.12901792420166858,0.13426100658108345,7,0.018431132028809798,0.019180143797297634,0.9609485843065801,0.13727836918665431,2008
CSU,0.02469727194026007,0.056874886197509696,7,0.0035281817057514387,0.008124983742501386,0.43423861727817326,0.06203408818259618,2009
SPD,0.09855297929964839,0.10786419261453539,13,0.00758099840766526,0.008297245585733491,0.9136765122030658,0.07028280863100506,2009
FDP,0.11928991346785398,0.22357810482741614,26,0.004588073594917461,0.008599157877977544,0.5335491753986195,0.02052112213071613,2009
CDU,0.442994831516665,0.3682597727985337,44,0.010068064352651477,0.008369540290875766,1.2029411416571343,0.027339571401298505,2009
GRÜNE,0.007063523644307057,0.015017907285424941,2,0.0035317618221535284,0.0075089536427124706,0.47034007535539196,0.23517003767769598,2009
CSU,0.0026024255327082154,0.055098666254997826,4,0.0006506063831770539,0.013774666563749456,0.04723209670201695,0.011808024175504238,2012
FDP,0.024504586471906772,0.07101788406762494,4,0.006126146617976693,0.017754471016906234,0.34504810715809153,0.08626202678952288,2012
SPD,0.04436003347651614,0.07182954084657572,3,0.01478667782550538,0.023943180282191907,0.6175736744756163,0.20585789149187209,2012
CDU,0.47860080589537646,0.39743016885266463,16,0.02991255036846103,0.02483938555329154,1.2042387402975525,0.07526492126859703,2012
AFD,7.267797861425202e-18,0.012622720897615711,3,2.422599287141734e-18,0.00420757363253857,5.757710972440187e-16,1.9192369908133955e-16,2013
CDU,0.3919573886531328,0.25288314000896644,45,0.00871016419229184,0.0056196253335325875,1.549954610019613,0.03444343577821363,2013
FDP,0.08357256905733702,0.11746788825911177,22,0.003798753138969865,0.005339449466323262,0.711450340138846,0.032338651824493,2013
MLPD,4.845198574283472e-18,0.008415147265077142,2,2.422599287141736e-18,0.004207573632538571,5.75771097244019e-16,2.878855486220095e-16,2013
CSU,0.007645409555684081,0.03081864397751026,7,0.0010922013650977258,0.004402663425358609,0.24807741577673817,0.03543963082524831,2013
SPD,0.029814771471335686,0.04807693667866682,9,0.0033127523857039653,0.005341881853185202,0.6201470711540862,0.0689052301282318,2013
